year,gdp,pop
1980,273389.5,11676.9
1981,285037.6,11762.3
1982,294386.1,11845.1
1983,305072.9,11927.1
1984,318529.3,12005.0
1985,334964.8,12080.0
1986,345998.7,12144.6
1987,362083.7,12203.1
1988,386204.4,12254.8
1989,405228.0,12302.8
1990,424844.8,12343.8
1991,439813.6,12392.8
1992,443774.5,12436.7
1993,441736.6,12477.0
1994,446522.3,12511.6
1995,458270.3,12543.6
1996,472631.9,12571.1
1997,477269.5,12601.1
1998,471206.6,12634.9
1999,469633.1,12658.7
2000,482616.8,12683.1
2001,484480.2,12713.2
2002,484683.5,12740.0
2003,492124.0,12763.4
2004,502882.4,12773.4
2005,511953.9,12775.2
2006,518979.7,12774.6
2007,526681.2,12775.7
2008,520233.1,12769.2
2009,490615.0,12755.1
2010,510720.0,12759.4
2011,510841.6,12783.1
2012,517864.4,12755.2
2013,528248.1,12733.3
2014,529812.8,12712.0
2015,538081.2,12697.8
2016,542137.4,12696.0
2017,551220.0,12674.6
2018,554766.5,12649.5
2019,552535.4,12622.1
2020,529459.8,12584.9
2021,543720.6,12550.7
2022,550250.3,12517.1
2023,560225.5,12462.1
