year,gdp,consumption,investment,government,exports,imports
1980,273389.5,154892.6,65514.9,73312.8,18801.1,24334.3
1981,285037.6,158798.7,66398.2,76678.7,21322.2,24924.2
1982,294386.1,166201.2,66646.7,78175.5,21639.3,24780.8
1983,305072.9,171815.5,66816.3,80466.8,22714.3,23980.5
1984,318529.3,177226.5,70126.5,82233.3,26201.7,26526.0
1985,334964.8,184493.0,75294.0,82584.4,27585.7,25842.1
1986,345998.7,191276.1,80017.2,86563.0,26210.5,26944.0
1987,362083.7,199644.4,87722.40000000001,90834.5,26237.2,29469.6
1988,386204.4,209917.3,101201.5,93960.3,28021.9,35068.6
1989,405228.0,220254.2,108708.80000000002,96903.0,30707.0,41311.1
1990,424844.8,230754.2,114202.6,100849.7,32987.9,44684.0
1991,439813.6,235876.3,118036.8,103749.7,34779.2,44176.6
1992,443774.5,241242.9,109038.3,110890.2,36381.4,43873.5
1993,441736.6,243841.7,99408.5,116895.69999999998,36681.6,43346.8
1994,446522.3,249412.3,97979.1,119413.9,38313.2,46932.8
1995,458270.3,255553.5,103439.9,122114.0,39915.9,53029.7
1996,472631.9,260557.9,111554.1,126700.3,41844.9,59269.9
1997,477269.5,262002.6,111444.8,124435.1,46483.4,59573.2
1998,471206.6,260307.9,105443.4,123247.1,45356.8,55519.9
1999,469633.1,263087.3,96383.7,128664.30000000002,46264.2,57575.5
2000,482616.8,267138.8,104410.80000000002,127426.1,52289.6,63081.1
2001,484480.2,272616.9,104271.8,127787.9,48820.8,63814.7
2002,484683.5,276130.0,97219.9,127569.6,52674.0,64317.1
2003,492124.0,277881.0,100412.0,126502.5,57746.0,66500.0
2004,502882.4,281553.4,105775.6,124338.3,66044.6,72155.2
2005,511953.9,285863.0,110973.0,122430.3,70746.8,76445.5
2006,518979.7,288516.9,112246.6,121131.8,78038.0,80041.6
2007,526681.2,290695.7,112242.5,121015.0,84829.7,81859.2
2008,520233.1,287401.6,109481.8,119557.7,86176.7,82459.1
2009,490615.0,284771.6,86626.5,123082.9,66026.2,69628.2
2010,510720.0,291408.1,90562.1,124249.4,82440.8,77486.1
2011,510841.6,289879.7,95609.7,124881.5,82342.2,81924.5
2012,517864.4,295760.1,98627.1,127106.5,82462.2,86392.0
2013,528248.1,303468.0,100439.9,129996.5,83130.6,89129.8
2014,529812.8,300716.8,103210.9,131457.7,90896.5,96371.5
2015,538081.2,300064.9,108757.2,132239.30000000002,93815.4,96795.5
2016,542137.4,298784.6,109235.9,134441.09999999998,95333.6,95657.8
2017,551220.0,301929.0,111935.9,134750.5,101643.8,98821.0
2018,554766.5,302625.8,113469.3,136001.9,105465.2,102589.6
2019,552535.4,300738.3,113058.7,138538.2,103927.0,103603.5
2020,529459.8,287369.1,104299.4,142167.8,91877.0,96609.2
2021,543720.6,289617.0,108013.1,145268.1,102784.4,101576.9
2022,550250.3,295888.9,111477.0,144772.6,108410.9,109590.9
2023,560225.5,297668.3,112951.30000000002,145839.6,111834.4,108148.8
