year,con,inc,deflator
1994,264738.5,397727.4,107.9
1995,270234.8,407167.4,107.5
1996,275890.7,420195.7,107.6
1997,280877.2,426422.5,109.0
1998,278734.5,417877.0,109.1
1999,279641.0,411656.0,108.5
2000,281784.3,418872.4,107.5
2001,283728.3,413135.5,106.0
2002,283349.5,409334.2,104.5
2003,281976.1,411499.2,103.4
2004,284025.0,419217.1,102.8
2005,285990.1,424796.8,102.0
2006,288504.0,426046.8,102.0
2007,289840.8,429822.4,101.6
2008,288531.0,412349.3,102.3
2009,279369.8,379921.8,100.1
2010,281548.4,394183.9,98.6
2011,278220.5,387621.9,98.2
2012,281880.1,391298.8,97.6
2013,288865.7,402287.3,97.4
2014,292482.2,409810.2,99.4
2015,293207.4,429343.9,100.0
2016,290493.5,433199.6,99.7
2017,294588.2,441708.0,100.0
2018,297955.2,443561.5,100.8
2019,297121.4,443863.0,101.2
2020,283530.6,421131.1,101.6
2021,287536.6,437748.7,102.2
2022,302622.2,447382.7,105.1
2023,314345.3,473435.8,108.3
