,GDP pc 2011 prices,,,,,,,,Population,,,,,,,,,,,
Region,Western Europe,Eastern Europe,Western Offshoots,Latin America,Asia (East),Asia (South and South-East),Middle East,Sub-Sahara Africa,Western Europe,Western Offshoots,Eastern Europe,Latin America,Asia (South and South-East),Asia (East),Middle East,Sub-Sahara Africa,World,World GDP pc,,
Year,,,,,,,,,,,,,,,,,,,,
1820,2307 ,818 ,2513 ,953 ,1089 ,929 ,974 ,800 ,132371 ,11231 ,90785 ,20099 ,255695 ,427757 ,35600 ,60000 ,1033538 ,1102 ,,
1830,2384 ,942 ,,,,,,,,,,,,,,,,,,
1840,2580 ,907 ,,,,,,,,,,,,,,,,,,
1850,2678 ,985 ,3474 ,1081 ,900 ,929 ,1000 ,800 ,165348 ,26760 ,117661 ,29485 ,278706 ,455774 ,42000 ,65000 ,1180734 ,1225 ,,
1860,3034 ,1358 ,4214 ,1588 ,,,,,,,,,,,,,,,,
1870,3301 ,1575 ,4647 ,1319 ,989 ,850 ,1165 ,800 ,186566 ,46088 ,141626 ,37692 ,327692 ,409153 ,49839 ,70000 ,1268656 ,1498 ,,
1880,3585 ,1886 ,6019 ,,,,,,,,,,,,,,,,,
1890,4079 ,2204 ,6481 ,1673 ,,951 ,,,,,,,,,,,,,,
1900,4724 ,2700 ,7741 ,1751 ,1086 ,994 ,1300 ,850 ,232433 ,86396 ,194693 ,61004 ,366060 ,457058 ,56000 ,86000 ,1539644 ,2212 ,,
1910,5135 ,2283 ,9355 ,2194 ,,1143 ,,,,,,,,,,,,,,
1920,4884 ,1343 ,9741 ,2331 ,1160 ,1117 ,900 ,950 ,256692 ,122278 ,229338 ,84512 ,514140 ,543904 ,71000 ,105000 ,1926864 ,2241 ,,
1930,6409 ,2464 ,10297 ,2700 ,1273 ,1299 ,1600 ,,,,,,,,,,,,,
1940,7185 ,3209 ,11621 ,3024 ,1361 ,1235 ,2146 ,1100 ,289129 ,153003 ,288864 ,121845 ,522187 ,614748 ,90000 ,152000 ,2231776 ,3133 ,,
1950,7263 ,4082 ,14773 ,3713 ,1122 ,1070 ,2393 ,1323 ,301577 ,176457 ,265982 ,158927 ,651980 ,670331 ,102743 ,181572 ,2509569 ,3351 ,,
1960,10974 ,5779 ,17472 ,4751 ,1735 ,1295 ,3110 ,1574 ,323216 ,211671 ,311411 ,209441 ,794354 ,810274 ,133349 ,226458 ,3020174 ,4386 ,,
1970,16161 ,8241 ,23210 ,6286 ,3042 ,1546 ,4801 ,1958 ,349109 ,242290 ,348243 ,275318 ,998483 ,987381 ,172904 ,291612 ,3665340 ,5952 ,,
1980,20950 ,9933 ,28787 ,8728 ,4212 ,1897 ,6742 ,2026 ,363898 ,270105 ,380059 ,349441 ,1257115 ,1176305 ,228970 ,381835 ,4407728 ,7233 ,,
1990,25440 ,10344 ,35619 ,8132 ,6121 ,2574 ,6435 ,1801 ,374235 ,298293 ,407200 ,430366 ,1556990 ,1347902 ,308972 ,507828 ,5231786 ,8222 ,,
2000,32536 ,8986 ,44329 ,10225 ,8164 ,3437 ,9640 ,1981 ,387273 ,336265 ,406119 ,505818 ,1881573 ,1483744 ,378987 ,658473 ,6038252 ,9915 ,,
2010,37318 ,17021 ,48090 ,13453 ,12853 ,5367 ,16716 ,3156 ,407475 ,370322 ,404195 ,572946 ,2186133 ,1562593 ,461061 ,849443 ,6814168 ,13179 ,,
2016,38511 ,19446 ,51668 ,14090 ,15698 ,6991 ,18010 ,3491 ,418154 ,389730 ,406044 ,609888 ,2355443 ,1606040 ,515173 ,987390 ,7287862 ,14700 ,,
2017,39257 ,20116 ,52597 ,14087 ,15956 ,7306 ,18404 ,3524 ,419338 ,391730 ,405993 ,615860 ,2397370 ,1613534 ,525118 ,1020642 ,7389585 ,14944 ,,
2018,39790 ,20681 ,53756 ,14076 ,16327 ,7649 ,18430 ,3532 ,420618 ,394736 ,406414 ,620426 ,2426441 ,1618978 ,534062 ,1047893 ,7469568 ,15212 ,,
